Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
11,5.4,3.7,1.5,0.2,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
17,5.4,3.9,1.3,0.4,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
20,5.1,3.8,1.5,0.3,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
32,5.4,3.4,1.5,0.4,Iris-setosa
33,5.2,4.1,1.5,0.1,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
45,5.1,3.8,1.9,0.4,Iris-setosa
47,5.1,3.8,1.6,0.2,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
